Coin Name,Open,Close,High,Low,Symbol,Time,Date
Ethereum,1813.79,1815.82,1819.22,1813.79,ETH,4/5/2025 3:00,4/5/2025
Ethereum,1815.86,1812.31,1815.86,1811.77,ETH,4/5/2025 3:30,4/5/2025
Ethereum,1809.95,1809.99,1811.7,1809.95,ETH,4/5/2025 4:00,4/5/2025
Ethereum,1812.69,1812.39,1813.58,1812.28,ETH,4/5/2025 4:30,4/5/2025
Ethereum,1814.5,1809.71,1814.5,1809.71,ETH,4/5/2025 5:00,4/5/2025
Ethereum,1808.66,1812.43,1812.43,1808.07,ETH,4/5/2025 5:30,4/5/2025
Ethereum,1813.7,1810,1813.7,1810,ETH,4/5/2025 6:00,4/5/2025
Ethereum,1809.8,1810.9,1811.69,1809.35,ETH,4/5/2025 6:30,4/5/2025
Ethereum,1810.71,1806.28,1810.71,1804.96,ETH,4/5/2025 7:00,4/5/2025
Ethereum,1807.74,1808.73,1808.73,1806.51,ETH,4/5/2025 7:30,4/5/2025
Ethereum,1810.05,1811.67,1812.84,1809.38,ETH,4/5/2025 8:00,4/5/2025
Ethereum,1812.31,1811.58,1813.43,1809.48,ETH,4/5/2025 8:30,4/5/2025
Ethereum,1810.85,1813.07,1813.07,1810.44,ETH,4/5/2025 9:00,4/5/2025
Ethereum,1813.19,1816.42,1818.33,1813.19,ETH,4/5/2025 9:30,4/5/2025
Ethereum,1817.84,1820.27,1820.27,1816.96,ETH,4/5/2025 10:00,4/5/2025
Ethereum,1821.42,1816.54,1821.42,1816.54,ETH,4/5/2025 10:30,4/5/2025
Ethereum,1817.3,1818.42,1818.42,1816.04,ETH,4/5/2025 11:00,4/5/2025
Ethereum,1817.28,1811.94,1817.28,1811.94,ETH,4/5/2025 11:30,4/5/2025
Ethereum,1810.97,1807.21,1810.97,1806.79,ETH,4/5/2025 12:00,4/5/2025
Ethereum,1806.72,1804.16,1807.12,1804.16,ETH,4/5/2025 12:30,4/5/2025
Ethereum,1803.28,1795.37,1803.28,1794.06,ETH,4/5/2025 13:00,4/5/2025
Ethereum,1796.29,1785.08,1796.59,1785.08,ETH,4/5/2025 13:30,4/5/2025
Ethereum,1788.34,1785.96,1788.34,1783.36,ETH,4/5/2025 14:00,4/5/2025
Ethereum,1787.47,1790.4,1790.4,1787.47,ETH,4/5/2025 14:30,4/5/2025
Ethereum,1788.94,1793.08,1793.08,1788.82,ETH,4/5/2025 15:00,4/5/2025
Ethereum,1790.71,1786.61,1790.71,1786.61,ETH,4/5/2025 15:30,4/5/2025
Ethereum,1783.95,1780.48,1783.95,1778.36,ETH,4/5/2025 16:00,4/5/2025
Ethereum,1782.47,1781.72,1784.46,1781.72,ETH,4/5/2025 16:30,4/5/2025
Ethereum,1784.47,1782.82,1787.53,1782.82,ETH,4/5/2025 17:00,4/5/2025
Ethereum,1784.49,1786.18,1786.18,1782.53,ETH,4/5/2025 17:30,4/5/2025
Ethereum,1786.8,1787.59,1788.56,1786.8,ETH,4/5/2025 18:00,4/5/2025
Ethereum,1786.77,1790.05,1791.48,1786.77,ETH,4/5/2025 18:30,4/5/2025
Ethereum,1790.06,1792.76,1792.76,1789.65,ETH,4/5/2025 19:00,4/5/2025
Ethereum,1792.44,1792.97,1794.1,1791.67,ETH,4/5/2025 19:30,4/5/2025
Ethereum,1791.58,1782.12,1791.58,1782.12,ETH,4/5/2025 20:00,4/5/2025
Ethereum,1782.73,1787.09,1787.09,1782.73,ETH,4/5/2025 20:30,4/5/2025
Ethereum,1787.9,1787.69,1787.9,1786,ETH,4/5/2025 21:00,4/5/2025
Ethereum,1789.28,1789.69,1789.69,1785.53,ETH,4/5/2025 21:30,4/5/2025
Ethereum,1792.24,1788.99,1792.24,1788.99,ETH,4/5/2025 22:00,4/5/2025
Ethereum,1788.91,1792.2,1793.93,1788.91,ETH,4/5/2025 22:30,4/5/2025
Ethereum,1791.6,1795.44,1795.44,1791.6,ETH,4/5/2025 23:00,4/5/2025
Ripple,2.14,2.13,2.14,2.13,XRP,4/4/2025 23:30,4/4/2025
Ripple,2.12,2.13,2.13,2.12,XRP,4/5/2025 0:00,4/5/2025
Ripple,2.13,2.13,2.13,2.12,XRP,4/5/2025 0:30,4/5/2025
Ripple,2.13,2.13,2.13,2.12,XRP,4/5/2025 1:00,4/5/2025
Ripple,2.13,2.14,2.14,2.13,XRP,4/5/2025 1:30,4/5/2025
Ripple,2.14,2.13,2.14,2.13,XRP,4/5/2025 2:00,4/5/2025
Ripple,2.13,2.12,2.13,2.12,XRP,4/5/2025 2:30,4/5/2025
Ripple,2.12,2.12,2.12,2.12,XRP,4/5/2025 3:00,4/5/2025
Ripple,2.12,2.12,2.12,2.12,XRP,4/5/2025 3:30,4/5/2025
Ripple,2.12,2.12,2.12,2.12,XRP,4/5/2025 4:00,4/5/2025
Ripple,2.12,2.12,2.12,2.12,XRP,4/5/2025 4:30,4/5/2025
Ripple,2.13,2.12,2.13,2.12,XRP,4/5/2025 5:00,4/5/2025
Ripple,2.12,2.13,2.13,2.12,XRP,4/5/2025 5:30,4/5/2025
Ripple,2.13,2.13,2.13,2.13,XRP,4/5/2025 6:00,4/5/2025
Ripple,2.13,2.13,2.14,2.13,XRP,4/5/2025 6:30,4/5/2025
Ripple,2.13,2.13,2.13,2.12,XRP,4/5/2025 7:00,4/5/2025
Ripple,2.13,2.13,2.13,2.13,XRP,4/5/2025 7:30,4/5/2025
Ripple,2.13,2.13,2.14,2.13,XRP,4/5/2025 8:00,4/5/2025
Ripple,2.14,2.13,2.14,2.13,XRP,4/5/2025 8:30,4/5/2025
Ripple,2.13,2.13,2.13,2.13,XRP,4/5/2025 9:00,4/5/2025
